Paper,DOI
Exploring Smoothness and Class-Separation for Semi-supervised Medical Image Segmentation,10.1007/978-3-031-16443-9_4
MaxStyle: Adversarial Style Composition for Robust Medical Image Segmentation,10.1007/978-3-031-16443-9_15
nnFormer: Volumetric Medical Image Segmentation via a 3D Transformer,10.48550/arXiv.2109.03201
Swin-Unet: Unet-like Pure Transformer for Medical Image Segmentation,10.1007/978-3-031-25066-8_9
TransUNet: Transformers Make Strong Encoders for Medical Image Segmentation,10.48550/arXiv.2102.04306
