paper,DOI,dataset_used
Exploring Smoothness and Class-Separation for Semi-supervised Medical Image Segmentation,10.1007/978-3-031-16443-9_4,ACDC
Exploring Smoothness and Class-Separation for Semi-supervised Medical Image Segmentation,10.1007/978-3-031-16443-9_4,LA
MaxStyle: Adversarial Style Composition for Robust Medical Image Segmentation,10.1007/978-3-031-16443-9_15,PROMISE12
MaxStyle: Adversarial Style Composition for Robust Medical Image Segmentation,10.1007/978-3-031-16443-9_15,I2CVB
